Vrstni_red,Naslov,Pisatelj,Leto_izdaje,Ocena
56,"The Baburnama: Memoirs of Babur, Prince and Emperor",Zahirud-din Muhammad Babur,1531,3.92
57,"The First Book of Common Prayer of Edward VI and the Ordinal of 1549, with the Order of the Communion, 1548, Repr. and Ed. by H.B. Walton",Henry Baskerville Walton,1549,4.00
58,King John,William Shakespeare,1595,3.30
59,The Merry Wives of Windsor,William Shakespeare,1597,3.56
60,Floridoro: A Chivalric Romance,Moderata Fonte,1581,4.67
61,Commentary on Galatians,Martin Luther,1535,4.25
61,The Discourses,Niccolò Machiavelli,1513,4.02
63,Euphues the Anatomy of Wit: Euphues & His England,John Lyly,1578,3.14
64,The Art of War,Niccolò Machiavelli,1521,4.03
65,"Henry VI, Part 1",William Shakespeare,1594,3.58
66,Zes dagen : gesprekken over het hoerenbestaan,Pietro Aretino,1534,3.54
67,Dark Night of the Soul: A Masterpiece in the Literature of Mysticism by St. John of the Cross,Juan de la Cruz,1584,4.21
68,Aminta,Torquato Tasso,1573,3.57
69,Candelaio,Giordano Bruno,1582,3.94
70,Colloquies,Desiderius Erasmus,1518,4.06
71,The Countess of Pembroke's Arcadia,Philip Sidney,1593,3.61
72,Three Books of Occult Philosophy,Cornelius Agrippa,1510,4.13
73,Fourth Book of Occult Philosophy,Cornelius Agrippa,1559,4.15
74,Declamation on the Nobility and Preeminence of the Female Sex,Cornelius Agrippa,1529,4.00
75,Adventures in the Unknown Interior of America,Álvar Núñez Cabeza de Vaca,1542,3.61
76,The Archidoxes of Magic,Paracelsus,1569,4.20
77,Astronomia Magna: Oder Die Ganze Philosophia Sagax Der Grossen Und Kleinen Welt,Paracelsus,1571,4.00
78,Planine,Petar Zoranić,1569,2.64
79,Myles Coverdale Bible (Student's Edition),First Gospel Publications,1535,4.00
80,The Complete Writings of Menno Simons,J.C. Wenger,1550,4.50
81,History of Florence and of the Affairs of Italy,Niccolò Machiavelli,1526,3.88
1,Hamlet,William Shakespeare,1602,3.99
2,Macbeth,William Shakespeare,1606,3.87
3,Don Quixote,Miguel de Cervantes Saavedra,1615,3.84
4,Paradise Lost,John Milton,1667,3.79
5,King Lear,William Shakespeare,1603,3.89
6,Othello,William Shakespeare,1603,3.87
7,The Tempest,William Shakespeare,1611,3.79
8,Julius Caesar,William Shakespeare,1599,3.64
9,The Pilgrim's Progress,John Bunyan,1678,3.96
10,Twelfth Night,William Shakespeare,1601,3.96
11,As You Like It,William Shakespeare,1599,3.82
12,Tartuffe,Molière,1664,3.66
13,Shakespeare's Sonnets,William Shakespeare,1609,4.24
14,The Misanthrope,Molière,1666,3.78
15,Doctor Faustus,Christopher Marlowe,1592,3.78
16,Holy Bible: King James Version,Anonymous,1611,4.42
17,Discourse on Method and Meditations on First Philosophy,René Descartes,1637,3.65
18,Le Malade imaginaire,Molière,1673,3.73
19,Phèdre,Jean Racine,1676,3.70
20,The Winter's Tale,William Shakespeare,1611,3.68
21,Don Juan,Molière,1665,3.67
22,L'Avare,Molière,1668,3.67
23,Le Bourgeois gentilhomme,Molière,1670,3.75
24,Perrault's Fairy Tales,Charles Perrault,1697,4.22
25,La vida es sueño,Pedro Calderón de la Barca,1636,3.97
26,Henry VIII,William Shakespeare,1613,3.58
27,Leviathan,Thomas Hobbes,1651,3.64
28,Pensées,Blaise Pascal,1669,3.96
28,Ethics,Baruch Spinoza,1677,3.98
30,Fables,Jean de La Fontaine,1625,4.01
31,The Principia: Mathematical Principles of Natural Philosophy,Isaac Newton,1686,4.18
32,An Essay Concerning Human Understanding,John Locke,1689,3.80
33,The Princesse de Clèves,Madame de La Fayette,1678,3.42
34,"Mr. William Shakespeares Comedies, Histories, and Tragedies: A Facsimile of the First Folio, 1623",William Shakespeare,1623,4.75
35,John Donne's Poetry,John Donne,2006,4.11
36,Second Treatise of Government,John Locke,1689,3.74
37,Fuenteovejuna,Lope de Vega,1618,3.52
38,Le Cid,Pierre Corneille,1637,3.62
39,The Duchess of Malfi,John Webster,1623,3.59
40,Cymbeline,William Shakespeare,1623,3.55
41,The Anatomy of Melancholy,Robert Burton,1621,4.21
42,Dialogue Concerning the Two Chief World Systems,Galileo Galilei,1632,4.08
43,'Tis Pity She's a Whore,John  Ford,1633,3.67
44,Two Treatises of Government,John Locke,1689,3.80
45,Andromaque,Jean Racine,1667,3.74
46,Maxims,François de La Rochefoucauld,1665,4.03
47,The Practice of the Presence of God,Brother Lawrence,1691,4.32
48,Areopagitica,John Milton,1644,3.82
49,The Temple: The Poetry of George Herbert,George Herbert,1633,4.10
50,El burlador de Sevilla,Tirso de Molina,1630,3.64
50,Horace,Pierre Corneille,1640,3.53
52,Oroonoko,Aphra Behn,1688,2.96
53,The School for Wives,Molière,1662,3.71
54,Volpone,Ben Jonson,1606,3.48
55,The Way of the World,William Congreve,1700,3.35
56,Los Sueños,Francisco de Quevedo,1627,3.82
