Vrstni_red,Naslov,Pisatelj,Leto_izdaje,Ocena
32,A Wrinkle in Time,Madeleine L'Engle,1962,4.04
33,The Chronicles of Narnia,C.S. Lewis,1949,4.23
34,Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,4.34
35,The Old Man and the Sea,Ernest Hemingway,1952,3.69
36,Ender's Game,Orson Scott Card,1985,4.29
37,The Giving Tree,Shel Silverstein,1964,4.37
38,A Tree Grows in Brooklyn,Betty  Smith,1943,4.23
39,The Return of the King,J.R.R. Tolkien,1955,4.49
40,The Two Towers,J.R.R. Tolkien,1954,4.40
41,Night,Elie Wiesel,1958,4.28
42,The Bell Jar,Sylvia Plath,1963,3.97
43,Watership Down,Richard Adams,1972,4.04
44,In Cold Blood,Truman Capote,1965,4.04
45,Atlas Shrugged,Ayn Rand,1957,3.67
46,Green Eggs and Ham,Dr. Seuss,1960,4.29
47,The Alchemist,Paulo Coelho,1988,3.79
48,The Poisonwood Bible,Barbara Kingsolver,1998,4.01
49,Love in the Time of Cholera,Gabriel Garcí­a Márquez,1985,3.88
50,Anne of Green Gables,L.M. Montgomery,1908,4.21
51,The Color Purple,Alice Walker,1982,4.15
52,The Complete Sherlock Holmes,Arthur Conan Doyle,1927,4.49
53,A Prayer for Owen Meany,John Irving,1989,4.22
54,The Stand,Stephen King,1978,4.33
55,The Unbearable Lightness of Being,Milan Kundera,1984,4.07
56,Where the Wild Things Are,Maurice Sendak,1963,4.22
57,The Metamorphosis,Franz Kafka,1915,3.76
58,The Lorax,Dr. Seuss,1971,4.35
59,Siddhartha,Hermann Hesse,1922,3.97
60,The Name of the Rose,Umberto Eco,1980,4.09
61,The Secret Garden,Frances Hodgson Burnett,1911,4.11
62,Charlie and the Chocolate Factory,Roald Dahl,1964,4.10
63,Rebecca,Daphne du Maurier,1938,4.19
64,On the Road,Jack Kerouac,1957,3.65
65,The Pillars of the Earth,Ken Follett,1989,4.28
66,The Sun Also Rises,Ernest Hemingway,1926,3.83
67,Ulysses,James Joyce,1922,3.73
68,Dune,Frank Herbert,1965,4.17
69,The Master and Margarita,Mikhail Bulgakov,1966,4.33
70,The Good Earth,Pearl S. Buck,1931,3.96
71,The Outsiders,S.E. Hinton,1967,4.04
72,Beloved,Toni Morrison,1987,3.74
73,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,4.19
74,All Quiet on the Western Front,Erich Maria Remarque,1928,3.89
75,A Confederacy of Dunces,John Kennedy Toole,1980,3.88
76,The Fountainhead,Ayn Rand,1943,3.84
77,The Sound and the Fury,William Faulkner,1929,3.85
78,The Joy Luck Club,Amy Tan,1989,3.88
79,Angela's Ashes,Frank McCourt,1996,4.06
80,For Whom the Bell Tolls,Ernest Hemingway,1940,3.94
81,The World According to Garp,John Irving,1978,4.06
82,A Farewell to Arms,Ernest Hemingway,1929,3.78
83,Little House on the Prairie,Laura Ingalls Wilder,1935,4.18
84,Invisible Man,Ralph Ellison,1952,3.82
85,Their Eyes Were Watching God,Zora Neale Hurston,1937,3.85
86,A Clockwork Orange,Anthony Burgess,1962,3.97
87,Where the Red Fern Grows,Wilson Rawls,1961,4.03
88,Mere Christianity,C.S. Lewis,1943,4.30
89,Waiting for Godot,Samuel Beckett,1952,3.80
90,The Red Tent,Anita Diamant,1997,4.15
91,Sophie's Choice,William Styron,1979,4.18
92,Lonesome Dove,Larry McMurtry,1985,4.46
93,Fear and Loathing in Las Vegas,Hunter S. Thompson,1971,4.08
94,The Things They Carried,Tim O'Brien,1990,4.11
95,Franny and Zooey,J.D. Salinger,1957,3.98
96,Flowers for Algernon,Daniel Keyes,1958,4.03
97,A Portrait of the Artist as a Young Man,James Joyce,1916,3.59
98,To the Lighthouse,Virginia Woolf,1927,3.75
99,Blindness,José Saramago,1995,4.05
100,Cat's Cradle,Kurt Vonnegut,1963,4.18
1,Harry Potter and the Deathly Hallows,J.K. Rowling,2007,4.59
2,The Hunger Games,Suzanne Collins,2008,4.36
3,The Kite Runner,Khaled Hosseini,2003,4.23
4,The Book Thief,Markus Zusak,2005,4.35
5,Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,4.51
6,Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,4.44
7,The Help,Kathryn Stockett,2009,4.45
8,A Thousand Splendid Suns,Khaled Hosseini,2007,4.32
9,Life of Pi,Yann Martel,2001,3.87
10,Catching Fire,Suzanne Collins,2009,4.30
11,The Time Traveler's Wife,Audrey Niffenegger,2003,3.94
12,The Girl with the Dragon Tattoo,Stieg Larsson,2005,4.09
13,The Fault in Our Stars,John Green,2012,4.31
14,The Da Vinci Code,Dan Brown,2003,3.76
15,The Road,Cormac McCarthy,2006,3.94
16,Water for Elephants,Sara Gruen,2006,4.06
17,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,3.84
18,Mockingjay,Suzanne Collins,2010,4.03
19,Harry Potter Boxset,J.K. Rowling,1998,4.73
20,The Lovely Bones,Alice Sebold,2002,3.75
21,Middlesex,Jeffrey Eugenides,2002,3.96
22,Twilight,Stephenie Meyer,2005,3.56
23,Atonement,Ian McEwan,2001,3.86
24,Divergent,Veronica Roth,2011,4.28
25,Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005,3.96
26,City of Bones,Cassandra Clare,2007,4.12
27,The Shadow of the Wind,Carlos Ruiz Zafón,2001,4.23
28,The Lightning Thief,Rick Riordan,2005,4.21
29,The Secret Life of Bees,Sue Monk Kidd,2001,3.99
30,My Sister's Keeper,Jodi Picoult,2004,4.05
31,The Glass Castle,Jeannette Walls,2005,4.22
32,American Gods,Neil Gaiman,2001,4.10
33,Angels & Demons,Dan Brown,2000,3.83
34,The Girl Who Played with Fire,Stieg Larsson,2006,4.21
35,Never Let Me Go,Kazuo Ishiguro,2005,3.79
36,Breaking Dawn,Stephenie Meyer,2008,3.70
37,The Host,Stephenie Meyer,2008,3.84
38,Eclipse,Stephenie Meyer,2007,3.70
39,Cloud Atlas,David Mitchell,2004,4.01
40,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,4.11
41,New Moon,Stephenie Meyer,2006,3.52
42,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,2007,4.19
43,"Eat, Pray, Love",Elizabeth Gilbert,2006,3.48
44,City of Glass,Cassandra Clare,2009,4.34
45,Kafka on the Shore,Haruki Murakami,2002,4.12
46,City of Ashes,Cassandra Clare,2008,4.22
47,Room,Emma Donoghue,2010,3.99
48,The Graveyard Book,Neil Gaiman,2008,4.10
49,The Elephant Tree,R.D. Ronald,2010,3.64
50,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,2001,3.91
51,The Corrections,Jonathan Franzen,2001,3.77
52,The Zombie Room,R.D. Ronald,2012,3.71
53,The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,3.87
54,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,2005,4.10
55,Everything Is Illuminated,Jonathan Safran Foer,2001,3.89
56,Vampire Academy,Richelle Mead,2007,4.15
57,The Thirteenth Tale,Diane Setterfield,2006,3.94
58,The Other Boleyn Girl,Philippa Gregory,2001,4.03
59,The Historian,Elizabeth Kostova,2005,3.75
60,Bel Canto,Ann Patchett,2001,3.91
61,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Erik Larson,2002,3.97
62,The Namesake,Jhumpa Lahiri,2001,3.95
63,Snow Flower and the Secret Fan,Lisa See,2005,4.04
64,No Country For Old Men,Cormac McCarthy,2005,4.11
65,The Name of the Wind,Patrick Rothfuss,2007,4.55
66,Blood River: A Journey to Africa's Broken Heart,Tim Butcher,2007,4.03
67,The Art of Racing in the Rain,Garth Stein,2006,4.18
68,Oryx and Crake,Margaret Atwood,2003,3.99
69,The Complete Persepolis,Marjane Satrapi,2007,4.33
70,A Short History of Nearly Everything,Bill Bryson,2003,4.17
71,The Memory Keeper's Daughter,Kim Edwards,2005,3.63
72,The Night Circus,Erin Morgenstern,2011,4.02
73,Jonathan Strange & Mr Norrell,Susanna Clarke,2004,3.78
74,The God Delusion,Richard Dawkins,2006,3.89
75,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2002,4.27
76,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,2006,3.63
77,The Shack,Wm. Paul Young,2007,3.70
78,Sarah's Key,Tatiana de Rosnay,2006,4.13
79,Gone Girl,Gillian Flynn,2012,4.00
80,Nineteen Minutes,Jodi Picoult,2007,4.08
81,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2001,3.86
82,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,2006,4.17
83,The History of Love,Nicole Krauss,2005,3.90
84,What is the What,Dave Eggers,2006,4.15
85,The White Tiger,Aravind Adiga,2008,3.70
86,The Story of Edgar Sawtelle,David Wroblewski,2008,3.59
87,Dress Your Family in Corduroy and Denim,David Sedaris,2004,4.07
88,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2003,3.85
89,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,4.43
90,A Million Little Pieces,James Frey,2003,3.61
91,Empire Falls,Richard Russo,2001,3.89
92,The Year of Magical Thinking,Joan Didion,2005,3.84
93,John Adams,David McCullough,2001,4.06
94,Gilead,Marilynne Robinson,2004,3.83
95,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,2007,3.94
96,Anansi Boys,Neil Gaiman,2005,3.99
97,Unaccustomed Earth,Jhumpa Lahiri,2008,4.10
98,People of the Book,Geraldine Brooks,2008,3.99
99,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,2007,4.03
100,The Secret Magdalene,Ki Longfellow,2005,4.20
